OA Quiz ID,Question Number,Old Question Number,Concept Title,Lecture Number,Question Type,Multiple Choice Options,Source,Source 2,Graded,Week
152,2,3,Light,5,multiple_choice,7,R1 Q5,0,,
152,3,5,Light,5,multiple_choice,5,Neilson E1 Q33,0,,
152,4,6,Light,5,multiple_choice,5,Neilson E1 Q26,0,,
152,5,7,Light,5,multiple_choice,5,Neilson E1 Q22,0,,
152,6,8,Light,5,multiple_choice,5,Neilson E1 Q19,0,,
152,7,11,Light,5,multiple_choice,5,Kim 9-1,0,,
152,8,17,Light,5,short_answer,,Kim 9-5,0,,
153,1,5,"Atomic Spectra, Bohr Model",6,multiple_choice,5,R1-1,0,,
153,2,6,"Atomic Spectra, Bohr Model",6,multiple_choice,5,Neilson E1-27,0,,
153,3,8,"Atomic Spectra, Bohr Model",6,multiple_choice,5,Neilson E1-23,0,,
153,4,11,"Atomic Spectra, Bohr Model",6,multiple_choice,5,Neilson E1-24,0,,
153,5,12,"Atomic Spectra, Bohr Model",6,multiple_choice,7,Kim 10-1,0,,
153,6,14,"Atomic Spectra, Bohr Model",6,short_answer,,Wood 6-7,0,,
153,7,15,"Atomic Spectra, Bohr Model",6,short_answer,,Wood 6-6,0,,
153,8,16,"Atomic Spectra, Bohr Model",6,short_answer,,Wood 6-5,0,,
153,9,20,"Atomic Spectra, Bohr Model",6,multiple_choice,6,Kim 10-2,0,,
154,1,1,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,5,LS Review 2,17,,
154,2,2,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,5,LS Review 2,15,,
154,3,4,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,5,LS Review 2,3,,
154,4,6,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,7,LS Review 2,4,,
154,5,10,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,4,Practice Exam 1,20,,
154,6,11,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,4,Stephen Quiz 11,3,,
154,7,12,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,10,Stephen Quiz 11,4,,
154,8,14,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,7,Stephen Quiz 11,6,,
154,9,17,"Electrons, Quantum Numbers, Orbitals",7,short_answer,,Stephen Quiz 12,3,,
154,10,18,"Electrons, Quantum Numbers, Orbitals",7,short_answer,,Stephen Quiz 12,4,,
154,11,19,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,10,LS Review 2,2,,
154,12,20,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,6,Stephen Quiz 11,2,,
154,13,22,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,5,Stephen Quiz 11,5,,
154,14,23,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,4,Practice Exam 1,29,,
154,15,24,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,4,Practice Exam 1,28,,
154,16,25,"Electrons, Quantum Numbers, Orbitals",7,short_answer,,Wood Quiz 7,5,,
154,17,26,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,4,Wood Quiz 7,4,,
154,18,27,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,4,Wood Quiz 7,3,,
154,19,29,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,4,Wood Quiz 7,1,,
154,20,30,"Electrons, Quantum Numbers, Orbitals",7,multiple_choice,4,Practice Exam 1,21,,
155,1,4,Electron Configurations,8,multiple_choice,4,Practice Exam 1,31,,
155,2,7,Electron Configurations,8,multiple_choice,4,Practice Exam 1,30,,
155,3,13,Electron Configurations,8,short_answer,,Wood Quiz 8,3,,
156,1,1,Periodic Trends,9,multiple_choice,2,Wood 9-4,0,,
156,2,5,Periodic Trends,9,multiple_choice,9,R2-10,0,,
156,3,7,Periodic Trends,9,multiple_choice,4,Nieson E1-32,0,,
156,4,8,Periodic Trends,9,multiple_choice,5,Nielson E2-9,0,,
156,5,11,Periodic Trends,9,multiple_choice,4,Kim 13-1,0,,
156,6,14,Periodic Trends,9,multiple_choice,5,R2-18,0,,
156,7,15,Periodic Trends,9,multiple_choice,6,R2-19,0,,
156,8,17,Periodic Trends,9,multiple_choice,8,Kim 13-2,0,,
157,1,1,Bonding,10,short_answer,,Kim 14-4,0,,
157,2,2,Bonding,10,short_answer,,Kim 14-3,0,,
157,3,3,Bonding,10,multiple_choice,4,Kim 14-2,0,,
157,4,4,Bonding,10,multiple_choice,4,Kim 14-1,0,,
157,5,8,Bonding,10,short_answer,,Wood 10-7,0,,
157,6,10,Bonding,10,short_answer,,Wood 10-5,0,,
157,7,11,Bonding,10,short_answer,,Wood 10-4,0,,
157,8,12,Bonding,10,short_answer,,Wood 10-3,0,,
157,9,13,Bonding,10,multiple_choice,6,Neilson 2-1,0,,
157,10,15,Bonding,10,short_answer,,Wood 10-8,0,,
157,11,17,Bonding,10,multiple_choice,5,Neilson 2-11,0,,
157,12,18,Bonding,10,multiple_choice,5,Neilson 2-26,0,,
157,13,19,Bonding,10,multiple_choice,5,R11-11,0,,
157,14,20,Bonding,10,multiple_choice,5,R7-25,0,,
157,15,21,Bonding,10,multiple_choice,5,R7-20,0,,
157,16,22,Bonding,10,multiple_choice,5,R4-1,0,,
157,17,23,Bonding,10,multiple_choice,5,R3-39,0,,
157,18,25,Bonding,10,multiple_choice,6,R3-34,0,,
157,19,26,Bonding,10,multiple_choice,6,R3-33,0,,
157,20,27,Bonding,10,multiple_choice,7,R3-32,0,,
157,21,28,Bonding,10,multiple_choice,6,R3-31,0,,
157,22,29,Bonding,10,multiple_choice,7,R3-28,0,,
157,23,30,Bonding,10,multiple_choice,5,R3-18,0,,
157,24,32,Bonding,10,multiple_choice,6,R3-15,0,,
157,25,33,Bonding,10,multiple_choice,6,R3-13,0,,
157,26,34,Bonding,10,multiple_choice,5,R3-12,0,,
157,27,35,Bonding,10,multiple_choice,10,R3-11,0,,
157,28,36,Bonding,10,multiple_choice,8,R3-9,0,,
157,29,37,Bonding,10,multiple_choice,6,R3-8,0,,
157,30,38,Bonding,10,multiple_choice,6,R3-6,0,,
157,31,39,Bonding,10,multiple_choice,5,R3-5,0,,
157,32,40,Bonding,10,multiple_choice,7,R3-4,0,,
157,33,41,Bonding,10,multiple_choice,5,R3-3,0,,
157,34,42,Bonding,10,multiple_choice,5,R3-2,0,,
157,35,43,Bonding,10,multiple_choice,6,R3-1,0,,
157,36,44,Bonding,10,multiple_choice,5,Neilson 2-7,0,,
